Source,Title,DOI,Citations,Unique ID,Link
Scopus,Research on the automation of intelligent accounting information processing process driven by neural networks,10.1038/s41598-025-31005-1,0,2-s2.0-105027336384,https://www.scopus.com/record/display.uri?eid=2-s2.0-105027336384&origin=resultslist
Scopus,Social and technical enablers of AI integration: Implications for innovative workplace behavior in the UAE,10.5267/j.ijdns.2025.10.010,0,2-s2.0-105026497267,https://www.scopus.com/record/display.uri?eid=2-s2.0-105026497267&origin=resultslist
Scopus,Willingness to buy at AI powered retail stores in Saudi Arabia: Empirical study,10.1007/s12525-025-00865-w,0,2-s2.0-105026367739,https://www.scopus.com/record/display.uri?eid=2-s2.0-105026367739&origin=resultslist
Scopus,"Attitudes Toward AI-powered Robots in Policing: AI Literacy, Organizational Justice, and Occupational Wellbeing Among Chinese Police Officers",10.1007/s11417-025-09478-w,0,2-s2.0-105023496577,https://www.scopus.com/record/display.uri?eid=2-s2.0-105023496577&origin=resultslist
Scopus,"Global bibliometric analysis of molecular imaging-guided robotic-assisted surgery: publication dynamics, thematic evolution, authorship patterns, and disciplinary landscape development (1982–2025)",10.1007/s11701-025-03039-0,0,2-s2.0-105024620306,https://www.scopus.com/record/display.uri?eid=2-s2.0-105024620306&origin=resultslist
Scopus,"Generative artificial intelligence heuristic cues, trust and continuous intention of CBeC platform and the moderating role of information overload",10.1038/s41598-025-32935-6,0,2-s2.0-105028499594,https://www.scopus.com/record/display.uri?eid=2-s2.0-105028499594&origin=resultslist
Scopus,Exploring the future of coaching team flow dynamics through the use of new technologies,10.1007/s44202-025-00531-4,0,2-s2.0-105028456329,https://www.scopus.com/record/display.uri?eid=2-s2.0-105028456329&origin=resultslist
Scopus,Source code vulnerability detection based on deep learning: a review,10.1186/s42400-025-00518-7,0,2-s2.0-105026444094,https://www.scopus.com/record/display.uri?eid=2-s2.0-105026444094&origin=resultslist
Scopus,An empirical evaluation of clustering processes for early detection of university dropout,10.1007/s41060-025-00965-y,0,2-s2.0-105027640513,https://www.scopus.com/record/display.uri?eid=2-s2.0-105027640513&origin=resultslist
Scopus,"Mapping the growth of robotic neurosurgery research: Insights from more than 5,000 publications and 100 top-cited papers",10.1007/s11701-025-03048-z,0,2-s2.0-105024753535,https://www.scopus.com/record/display.uri?eid=2-s2.0-105024753535&origin=resultslist
Scopus,Financial risk identification and prevention system based on random forest algorithm,10.1007/s44163-025-00656-4,0,2-s2.0-105027934728,https://www.scopus.com/record/display.uri?eid=2-s2.0-105027934728&origin=resultslist
Scopus,Hybrid real-synthetic dataset framework for robotic hazard detection in industrial environments,10.1038/s41598-025-33603-5,0,2-s2.0-105027347424,https://www.scopus.com/record/display.uri?eid=2-s2.0-105027347424&origin=resultslist
Scopus,Smart decision engine for performance optimization in enterprise management,10.1038/s41598-025-32966-z,0,2-s2.0-105028439924,https://www.scopus.com/record/display.uri?eid=2-s2.0-105028439924&origin=resultslist
Scopus,Securing financial transactions: exploring the role of lightweight blockchain-enabled deep learning for fraud detection in FinTech systems,10.1186/s42400-025-00436-8,0,2-s2.0-105026857084,https://www.scopus.com/record/display.uri?eid=2-s2.0-105026857084&origin=resultslist
Scopus,Using gradient boosting regression trees to identify cost drivers of laparoscopic surgery in elderly patients,10.1007/s44163-025-00702-1,0,2-s2.0-105027418844,https://www.scopus.com/record/display.uri?eid=2-s2.0-105027418844&origin=resultslist
Scopus,Predicting virtual goods purchases in Vietnam’s MMOGs with a TAM-PERVAL model using PLS-SEM and ANN,10.1057/s41599-025-06379-2,0,2-s2.0-105027689372,https://www.scopus.com/record/display.uri?eid=2-s2.0-105027689372&origin=resultslist
Scopus,Trends and Developments in the Realm of Virtual Forest Visualization,10.1007/s40725-025-00265-5,0,2-s2.0-105027678802,https://www.scopus.com/record/display.uri?eid=2-s2.0-105027678802&origin=resultslist
Scopus,Multidimensional disparities in urban liveability across Chinese non-core cities: a typological exploration based on carbon emissions differences,10.1057/s41599-025-06380-9,0,2-s2.0-105027641716,https://www.scopus.com/record/display.uri?eid=2-s2.0-105027641716&origin=resultslist
Scopus,Examining the Sustainable Integration of Artificial Intelligence in Human Resource Digitalization in the Context of Industry 4.0,10.31637/epsir-2026-2044,0,2-s2.0-105018763011,https://www.scopus.com/record/display.uri?eid=2-s2.0-105018763011&origin=resultslist
Scopus,A bibliometric analysis of RPA and AI research: Current trends and future directions,10.31893/multiscience.2026xxx,0,2-s2.0-105014875364,https://www.scopus.com/record/display.uri?eid=2-s2.0-105014875364&origin=resultslist
Scopus,Leveraging artificial intelligence for intelligent student support: An AI-enabled SRM framework for higher education,10.31893/multiscience.2026160,0,2-s2.0-105014883667,https://www.scopus.com/record/display.uri?eid=2-s2.0-105014883667&origin=resultslist
Scopus,The evolution of accountancy research: A systematic literature review of trends from 1995 to 2025,10.31893/multirev.2026329,0,2-s2.0-105027589107,https://www.scopus.com/record/display.uri?eid=2-s2.0-105027589107&origin=resultslist
Scopus,Colloquial engagement theory with AI awareness (CET-AIA): A new creative pedagogical framework for ethical assessment in the age of artificial intelligence,10.1016/j.tsc.2025.102051,0,2-s2.0-105021129998,https://www.scopus.com/record/display.uri?eid=2-s2.0-105021129998&origin=resultslist
Scopus,AI transformation in working life: A systematic review of usage and attitudes towards AI among workers,10.1016/j.digbus.2025.100162,0,2-s2.0-105026775602,https://www.scopus.com/record/display.uri?eid=2-s2.0-105026775602&origin=resultslist
